event_type,tick,timestamp_us,task_handle,queue_handle,block_time,new_tick,name
TRACE_LOG_TASK_INCREMENT_TICK,2072,2100546,,,,2073,-
TRACE_LOG_TASK_INCREMENT_TICK,2073,2101546,,,,2074,-
TRACE_LOG_TASK_INCREMENT_TICK,2074,2102546,,,,2075,-
TRACE_LOG_QUEUE_SEND,2075,2102619,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2075,2102627,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2075,2103546,,,,2076,-
TRACE_LOG_TASK_INCREMENT_TICK,2076,2104546,,,,2077,-
TRACE_LOG_QUEUE_SEND,2077,2105310,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2077,2105318,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2077,2105546,,,,2078,-
TRACE_LOG_TASK_INCREMENT_TICK,2078,2106546,,,,2079,-
TRACE_LOG_TASK_INCREMENT_TICK,2079,2107546,,,,2080,-
TRACE_LOG_QUEUE_SEND,2080,2108001,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2080,2108009,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_QUEUE_SEND,2373,2401408,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2373,2401546,,,,2374,-
TRACE_LOG_TASK_INCREMENT_TICK,2374,2402546,,,,2375,-
TRACE_LOG_TASK_INCREMENT_TICK,2375,2403546,,,,2376,-
TRACE_LOG_TASK_INCREMENT_TICK,2376,2404546,,,,2377,-
TRACE_LOG_TASK_INCREMENT_TICK,2377,2405546,,,,2378,-
TRACE_LOG_QUEUE_SEND,2378,2405915,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2378,2405922,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2378,2406546,,,,2379,-
TRACE_LOG_TASK_INCREMENT_TICK,2379,2407546,,,,2380,-
TRACE_LOG_TASK_INCREMENT_TICK,2380,2408546,,,,2381,-
TRACE_LOG_QUEUE_SEND,2381,2408606,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2381,2408613,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2381,2409546,,,,2382,-
TRACE_LOG_TASK_INCREMENT_TICK,2382,2410546,,,,2383,-
TRACE_LOG_QUEUE_SEND,2383,2411297,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2383,2411304,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2383,2411546,,,,2384,-
TRACE_LOG_TASK_INCREMENT_TICK,2384,2412546,,,,2385,-
TRACE_LOG_TASK_INCREMENT_TICK,2385,2413546,,,,2386,-
TRACE_LOG_QUEUE_SEND,2386,2413988,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2386,2413995,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2386,2414546,,,,2387,-
TRACE_LOG_TASK_INCREMENT_TICK,2387,2415546,,,,2388,-
TRACE_LOG_TASK_INCREMENT_TICK,2388,2416546,,,,2389,-
TRACE_LOG_QUEUE_SEND,2389,2416679,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2389,2416686,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2389,2417546,,,,2390,-
TRACE_LOG_TASK_INCREMENT_TICK,2390,2418546,,,,2391,-
TRACE_LOG_QUEUE_SEND,2391,2419370,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2391,2419377,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2391,2419546,,,,2392,-
TRACE_LOG_TASK_INCREMENT_TICK,2392,2420546,,,,2393,-
TRACE_LOG_TASK_INCREMENT_TICK,2393,2421546,,,,2394,-
TRACE_LOG_TASK_INCREMENT_TICK,2394,2422546,,,,2395,-
TRACE_LOG_TASK_INCREMENT_TICK,2395,2423546,,,,2396,-
TRACE_LOG_QUEUE_SEND,2396,2423883,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2396,2423891,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2396,2424546,,,,2397,-
TRACE_LOG_TASK_INCREMENT_TICK,2397,2425546,,,,2398,-
TRACE_LOG_TASK_INCREMENT_TICK,2398,2426546,,,,2399,-
TRACE_LOG_TASK_INCREMENT_TICK,2399,2427546,,,,2400,-
TRACE_LOG_QUEUE_SEND,2400,2428397,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2400,2428405,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2400,2428546,,,,2401,-
TRACE_LOG_TASK_INCREMENT_TICK,2401,2429546,,,,2402,-
TRACE_LOG_TASK_INCREMENT_TICK,2402,2430546,,,,2403,-
TRACE_LOG_QUEUE_SEND,2403,2431088,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2403,2431096,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2403,2431546,,,,2404,-
TRACE_LOG_TASK_SWITCHED_OUT,2404,2431550,3ffbd2a0,,,,trace_lg
TRACE_LOG_TASK_SWITCHED_IN,2404,2431553,3ffbad08,,,,reciever
TRACE_LOG_QUEUE_RECEIVE,2404,2431557,3ffbad08,3ffbd72c,4294967295,,reciever
TRACE_LOG_TASK_DELAY_UNTIL,2404,2431560,3ffbad08,,,2504,reciever
TRACE_LOG_TASK_SWITCHED_OUT,2404,2431568,3ffbad08,,,,reciever
TRACE_LOG_TASK_SWITCHED_IN,2404,2431571,3ffbd2a0,,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2404,2432546,,,,2405,-
TRACE_LOG_TASK_INCREMENT_TICK,2405,2433546,,,,2406,-
TRACE_LOG_QUEUE_SEND,2406,2433779,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2406,2433787,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2406,2434546,,,,2407,-
TRACE_LOG_TASK_INCREMENT_TICK,2407,2435546,,,,2408,-
TRACE_LOG_QUEUE_SEND,2408,2436470,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2408,2436478,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2408,2436546,,,,2409,-
TRACE_LOG_TASK_SWITCHED_OUT,2409,2436552,3ffbd2a0,,,,trace_lg
TRACE_LOG_TASK_SWITCHED_IN,2409,2436623,3ffbd2a0,,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2409,2437546,,,,2410,-
TRACE_LOG_TASK_INCREMENT_TICK,2410,2438546,,,,2411,-
TRACE_LOG_TASK_INCREMENT_TICK,2411,2439546,,,,2412,-
TRACE_LOG_TASK_INCREMENT_TICK,2412,2440546,,,,2413,-
TRACE_LOG_TASK_SWITCHED_OUT,2413,2440550,3ffbd2a0,,,,trace_lg
TRACE_LOG_TASK_SWITCHED_IN,2413,2440587,3ffbd2a0,,,,trace_lg
TRACE_LOG_QUEUE_SEND,2413,2440984,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2413,2440991,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2413,2441546,,,,2414,-
TRACE_LOG_TASK_INCREMENT_TICK,2414,2442546,,,,2415,-
TRACE_LOG_TASK_INCREMENT_TICK,2415,2443546,,,,2416,-
TRACE_LOG_TASK_INCREMENT_TICK,2416,2444546,,,,2417,-
TRACE_LOG_QUEUE_SEND,2417,2445498,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2417,2445505,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2417,2445546,,,,2418,-
TRACE_LOG_TASK_INCREMENT_TICK,2418,2446546,,,,2419,-
TRACE_LOG_TASK_INCREMENT_TICK,2419,2447546,,,,2420,-
TRACE_LOG_QUEUE_SEND,2420,2448189,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2420,2448196,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2718,2746546,,,,2719,-
TRACE_LOG_TASK_INCREMENT_TICK,2719,2747546,,,,2720,-
TRACE_LOG_QUEUE_SEND,2720,2747925,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2720,2747933,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2720,2748546,,,,2721,-
TRACE_LOG_TASK_INCREMENT_TICK,2721,2749546,,,,2722,-
TRACE_LOG_TASK_INCREMENT_TICK,2722,2750546,,,,2723,-
TRACE_LOG_QUEUE_SEND,2723,2750616,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2723,2750624,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2723,2751546,,,,2724,-
TRACE_LOG_TASK_INCREMENT_TICK,2724,2752546,,,,2725,-
TRACE_LOG_QUEUE_SEND,2725,2753307,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2725,2753315,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2725,2753546,,,,2726,-
TRACE_LOG_TASK_INCREMENT_TICK,2726,2754546,,,,2727,-
TRACE_LOG_TASK_INCREMENT_TICK,2727,2755546,,,,2728,-
TRACE_LOG_TASK_INCREMENT_TICK,2728,2756546,,,,2729,-
TRACE_LOG_TASK_INCREMENT_TICK,2729,2757546,,,,2730,-
TRACE_LOG_QUEUE_SEND,2730,2757821,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2730,2757828,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2730,2758546,,,,2731,-
TRACE_LOG_TASK_INCREMENT_TICK,2731,2759546,,,,2732,-
TRACE_LOG_TASK_INCREMENT_TICK,2732,2760546,,,,2733,-
TRACE_LOG_TASK_INCREMENT_TICK,2733,2761546,,,,2734,-
TRACE_LOG_QUEUE_SEND,2734,2762335,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2734,2762342,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2734,2762546,,,,2735,-
TRACE_LOG_TASK_INCREMENT_TICK,2735,2763546,,,,2736,-
TRACE_LOG_TASK_INCREMENT_TICK,2736,2764546,,,,2737,-
TRACE_LOG_QUEUE_SEND,2737,2765026,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2737,2765033,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2737,2765546,,,,2738,-
TRACE_LOG_TASK_INCREMENT_TICK,2738,2766546,,,,2739,-
TRACE_LOG_TASK_INCREMENT_TICK,2739,2767546,,,,2740,-
TRACE_LOG_QUEUE_SEND,2740,2767717,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2740,2767724,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2740,2768546,,,,2741,-
TRACE_LOG_TASK_INCREMENT_TICK,2741,2769546,,,,2742,-
TRACE_LOG_QUEUE_SEND,2742,2770408,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2742,2770415,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2742,2770546,,,,2743,-
TRACE_LOG_TASK_INCREMENT_TICK,2743,2771546,,,,2744,-
TRACE_LOG_TASK_INCREMENT_TICK,2744,2772546,,,,2745,-
TRACE_LOG_TASK_INCREMENT_TICK,2745,2773546,,,,2746,-
TRACE_LOG_TASK_INCREMENT_TICK,2746,2774546,,,,2747,-
TRACE_LOG_QUEUE_SEND,2747,2774922,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2747,2774929,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2747,2775546,,,,2748,-
TRACE_LOG_TASK_INCREMENT_TICK,2748,2776546,,,,2749,-
TRACE_LOG_TASK_INCREMENT_TICK,2749,2777546,,,,2750,-
TRACE_LOG_TASK_INCREMENT_TICK,2750,2778546,,,,2751,-
TRACE_LOG_QUEUE_SEND,2751,2779436,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2751,2779443,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2751,2779546,,,,2752,-
TRACE_LOG_TASK_INCREMENT_TICK,2752,2780546,,,,2753,-
TRACE_LOG_TASK_INCREMENT_TICK,2753,2781546,,,,2754,-
TRACE_LOG_QUEUE_SEND,2754,2782126,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2754,2782134,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2754,2782546,,,,2755,-
TRACE_LOG_TASK_INCREMENT_TICK,2755,2783546,,,,2756,-
TRACE_LOG_TASK_INCREMENT_TICK,2756,2784546,,,,2757,-
TRACE_LOG_QUEUE_SEND,2757,2784817,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2757,2784825,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2757,2785546,,,,2758,-
TRACE_LOG_TASK_INCREMENT_TICK,2758,2786546,,,,2759,-
TRACE_LOG_TASK_INCREMENT_TICK,2759,2787546,,,,2760,-
TRACE_LOG_TASK_INCREMENT_TICK,2760,2788546,,,,2761,-
TRACE_LOG_QUEUE_SEND,2761,2789331,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2761,2789339,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2761,2789546,,,,2762,-
TRACE_LOG_TASK_INCREMENT_TICK,2762,2790546,,,,2763,-
TRACE_LOG_TASK_INCREMENT_TICK,2763,2791546,,,,2764,-
TRACE_LOG_TASK_INCREMENT_TICK,2764,2792546,,,,2765,-
TRACE_LOG_TASK_INCREMENT_TICK,2765,2793546,,,,2766,-
TRACE_LOG_QUEUE_SEND,2766,2793845,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2766,2793852,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2766,2794546,,,,2767,-
TRACE_LOG_TASK_INCREMENT_TICK,2767,2795546,,,,2768,-
TRACE_LOG_QUEUE_SEND,2768,2796536,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2768,2796543,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2768,2796549,,,,2769,-
TRACE_LOG_TASK_INCREMENT_TICK,2769,2797546,,,,2770,-
TRACE_LOG_TASK_INCREMENT_TICK,2770,2798546,,,,2771,-
TRACE_LOG_QUEUE_SEND,2771,2799227,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2771,2799234,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2771,2799546,,,,2772,-
TRACE_LOG_TASK_INCREMENT_TICK,2772,2800546,,,,2773,-
TRACE_LOG_TASK_INCREMENT_TICK,2773,2801546,,,,2774,-
TRACE_LOG_QUEUE_SEND,2774,2801918,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2774,2801925,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2774,2802546,,,,2775,-
TRACE_LOG_TASK_INCREMENT_TICK,2775,2803546,,,,2776,-
TRACE_LOG_TASK_INCREMENT_TICK,2776,2804546,,,,2777,-
TRACE_LOG_QUEUE_SEND,2777,2804609,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2777,2804616,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2777,2805546,,,,2778,-
TRACE_LOG_TASK_INCREMENT_TICK,2778,2806546,,,,2779,-
TRACE_LOG_QUEUE_SEND,2779,2807300,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,2779,2807307,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,2779,2807546,,,,2780,-
TRACE_LOG_TASK_INCREMENT_TICK,2780,2808546,,,,2781,-
TRACE_LOG_TASK_INCREMENT_TICK,2781,2809546,,,,2782,-
TRACE_LOG_TASK_INCREMENT_TICK,2782,2810546,,,,2783,-
TRACE_LOG_TASK_INCREMENT_TICK,2783,2811546,,,,2784,-
TRACE_LOG_QUEUE_SEND,2784,2811814,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,3073,3101546,,,,3074,-
TRACE_LOG_QUEUE_SEND,3074,3101568,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,3074,3101575,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,3074,3102546,,,,3075,-
TRACE_LOG_TASK_INCREMENT_TICK,3075,3103546,,,,3076,-
TRACE_LOG_QUEUE_SEND,3076,3104259,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,3076,3104266,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,3076,3104546,,,,3077,-
TRACE_LOG_TASK_INCREMENT_TICK,3077,3105546,,,,3078,-
TRACE_LOG_TASK_INCREMENT_TICK,3078,3106546,,,,3079,-
TRACE_LOG_TASK_INCREMENT_TICK,3079,3107546,,,,3080,-
TRACE_LOG_TASK_INCREMENT_TICK,3080,3108546,,,,3081,-
TRACE_LOG_QUEUE_SEND,3081,3108772,3ffbd2a0,3ffbd6cc,,,trace_lg
TRACE_LOG_QUEUE_SEND,3081,3108780,3ffbd2a0,3ffb68d4,,,trace_lg
TRACE_LOG_TASK_INCREMENT_TICK,3081,3109546,,,,3082,-
TRACE_LOG_TASK_INCREMENT_TICK,3082,3110546,,,,3083,-
TRACE_LOG_TASK_INCREMENT_TICK,3083,3111546,,,,3084,-
TRACE_LOG_TASK_INCREMENT_TICK,3084,3112546,,,,3085,-
TRACE_LOG_QUEUE_SEND,3085,3113286,3ffbd2a0,3ffbd6cc,,,trace_lg
